,POINT_ID,coarse,clay,silt,sand,pH_in_H2O,pH_in_CaCl2,SOC,CaCO3,N,P,K,CEC,Notes,sample_ID,GPS_LAT,GPS_LONG,geometry
12043,41743090,23,21.0,66.0,12.0,4.0,3.5,73.3,1.0,5.1,59.0,96.0,9.7,,2853,50.9,7.91,POINT (7.91 50.9)
12044,41743072,7,23.0,63.0,14.0,4.94,4.18,50.2,0.0,2.5,0.0,36.8,9.4,,2855,50.74,7.92,POINT (7.92 50.74)
12045,41743032,6,19.0,66.0,15.0,5.49,4.97,21.5,0.0,2.2,49.3,65.7,11.0,,2456,50.38,7.93,POINT (7.93 50.38)
12046,41742978,20,43.0,42.0,15.0,7.76,7.3,18.5,186.0,1.9,60.5,902.3,24.6,,1659,49.9,7.95,POINT (7.95 49.9)
12049,41723206,6,18.0,71.0,11.0,4.57,3.63,25.1,0.0,1.8,0.0,95.2,10.9,,1874,51.94,7.83,POINT (7.83 51.94)
12050,41723166,6,14.0,84.0,2.0,7.1,6.68,13.0,0.0,1.3,52.2,152.9,13.7,,1858,51.58,7.85,POINT (7.85 51.58)
12051,41723116,39,26.0,51.0,23.0,4.62,3.95,51.2,1.0,3.4,16.0,49.6,11.6,,1916,51.14,7.87,POINT (7.87 51.14)
12052,41723044,10,22.0,62.0,16.0,5.44,5.02,24.2,2.0,2.3,46.0,438.6,20.2,,2459,50.49,7.9,POINT (7.9 50.49)
12053,41723008,15,29.0,49.0,22.0,6.26,5.91,37.7,1.0,3.7,107.6,848.6,10.9,,1717,50.17,7.91,POINT (7.91 50.17)
12054,41722968,15,42.0,40.0,18.0,7.73,7.26,16.7,23.0,1.9,80.6,826.8,28.0,,40005,49.81,7.93,POINT (7.93 49.81)
12059,41703250,10,10.0,24.0,66.0,5.9,5.46,38.7,0.0,3.0,10.7,47.7,10.1,,2676,52.34,7.78,POINT (7.78 52.34)
12060,41703136,16,20.0,73.0,7.0,6.48,5.96,30.2,1.0,2.8,23.5,49.2,14.3,,1913,51.31,7.83,POINT (7.83 51.31)
12061,41703124,21,19.0,69.0,12.0,5.67,5.05,30.2,2.0,2.8,78.8,54.6,11.9,,1917,51.21,7.84,POINT (7.84 51.21)
12062,41703028,7,23.0,44.0,33.0,5.97,5.59,29.6,1.0,2.9,48.4,375.4,12.6,,2457,50.34,7.88,POINT (7.88 50.34)
12063,41702722,3,20.0,22.0,58.0,5.8,5.15,16.5,0.0,1.8,52.8,249.7,9.0,,3070,47.59,7.99,POINT (7.99 47.59)
12066,41683290,3,4.0,9.0,88.0,3.73,3.06,28.0,0.0,1.2,12.2,22.9,4.8,,1338,52.7,7.74,POINT (7.74 52.7)
12067,41683282,12,3.0,9.0,88.0,5.11,4.81,19.8,0.0,1.3,150.7,80.0,5.4,,1344,52.63,7.74,POINT (7.74 52.63)
12068,41683272,4,9.0,14.0,77.0,4.14,3.61,20.2,0.0,1.1,0.0,39.9,8.5,,2679,52.54,7.74,POINT (7.74 52.54)
12069,41683264,3,3.0,4.0,93.0,6.18,5.6,17.0,0.0,1.4,70.5,40.3,5.7,,2680,52.46,7.75,POINT (7.75 52.46)
12070,41683260,4,3.0,8.0,88.0,5.2,4.73,23.9,1.0,1.8,95.8,97.1,7.1,,2681,52.43,7.75,POINT (7.75 52.43)
12071,41683242,5,9.0,33.0,58.0,5.3,5.14,32.2,1.0,2.6,35.1,47.9,9.7,,2673,52.27,7.76,POINT (7.76 52.27)
12072,41683228,0,2.0,9.0,89.0,3.82,3.09,46.3,1.0,2.4,39.0,47.8,6.0,,2670,52.14,7.76,POINT (7.76 52.14)
12073,41683164,11,16.0,75.0,9.0,7.6,6.88,22.4,9.0,1.4,80.5,255.0,15.1,,1857,51.57,7.79,POINT (7.79 51.57)
12074,41682828,3,15.0,55.0,30.0,7.15,6.67,12.0,2.0,1.3,73.8,250.4,11.9,,2025,48.55,7.93,POINT (7.93 48.55)
12075,41682724,29,26.0,26.0,48.0,4.98,4.37,30.8,0.0,3.0,71.0,222.8,10.8,,3071,47.61,7.97,POINT (7.97 47.61)
12080,41663376,4,7.0,10.0,82.0,5.05,4.54,56.0,0.0,3.0,21.4,53.5,10.3,,1295,53.47,7.67,POINT (7.67 53.47)
12081,41663232,8,2.0,5.0,93.0,5.8,5.3,14.0,0.0,1.2,64.4,28.3,4.4,,2671,52.18,7.73,POINT (7.73 52.18)
12082,41663160,4,12.0,84.0,4.0,6.53,6.16,13.6,1.0,1.3,44.7,195.6,9.5,,1855,51.53,7.77,POINT (7.77 51.53)
12083,41662800,7,18.0,56.0,26.0,5.34,4.9,21.6,0.0,2.4,20.9,60.4,10.9,,3090,48.29,7.91,POINT (7.91 48.29)
12084,41643396,3,5.0,15.0,80.0,4.62,4.25,22.2,0.0,1.9,52.0,72.6,4.4,,1297,53.65,7.63,POINT (7.63 53.65)
